,duration,id,cls,coords
56,900.0,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 439]]], dtype=int32)]"
57,900.0,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]]], dtype=int32)]"
58,900.0,5.0,0.0,"[array([[[407, 497]],

       [[407, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
59,900.0,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]]], dtype=int32)]"
60,1000.0,1.0,0.0,"[array([[[294, 418]],

       [[294, 418]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]]], dtype=int32)]"
61,1000.0,2.0,0.0,"[array([[[246, 468]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]]], dtype=int32)]"
62,1000.0,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]]], dtype=int32)]"
63,1000.0,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]]], dtype=int32)]"
64,1000.0,5.0,0.0,"[array([[[407, 497]],

       [[407, 497]],

       [[407, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
65,1000.0,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]]], dtype=int32)]"
66,1100.0,1.0,0.0,"[array([[[294, 418]],

       [[294, 418]],

       [[294, 418]],

       [[294, 419]],

       [[294, 419]]], dtype=int32)]"
67,1100.0,2.0,0.0,"[array([[[246, 468]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]]], dtype=int32)]"
68,1100.0,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]]], dtype=int32)]"
69,1100.0,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]]], dtype=int32)]"
70,1100.0,5.0,0.0,"[array([[[407, 497]],

       [[407, 497]],

       [[407, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
71,1100.0,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]]], dtype=int32)]"
72,1200.0000000000002,1.0,0.0,"[array([[[294, 418]],

       [[294, 418]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]]], dtype=int32)]"
73,1200.0000000000002,2.0,0.0,"[array([[[246, 468]],

       [[246, 468]],

       [[246, 468]],

       [[246, 468]],

       [[246, 468]]], dtype=int32)]"
74,1200.0000000000002,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 438]]], dtype=int32)]"
75,1200.0000000000002,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[247, 529]],

       [[247, 529]]], dtype=int32)]"
76,1200.0000000000002,5.0,0.0,"[array([[[407, 497]],

       [[407, 497]],

       [[407, 497]],

       [[407, 497]],

       [[407, 497]]], dtype=int32)]"
77,1200.0000000000002,6.0,0.0,"[array([[[351, 574]],

       [[351, 574]],

       [[351, 575]],

       [[351, 575]],

       [[352, 575]]], dtype=int32)]"
78,1300.0,1.0,0.0,"[array([[[294, 419]],

       [[294, 420]],

       [[294, 420]],

       [[294, 420]],

       [[294, 421]]], dtype=int32)]"
79,1300.0,2.0,0.0,"[array([[[246, 469]],

       [[245, 470]],

       [[245, 471]],

       [[245, 472]],

       [[245, 473]]], dtype=int32)]"
80,1300.0,3.0,0.0,"[array([[[404, 439]],

       [[404, 439]],

       [[404, 440]],

       [[404, 440]],

       [[404, 441]]], dtype=int32)]"
81,1300.0,4.0,0.0,"[array([[[247, 529]],

       [[247, 530]],

       [[247, 530]],

       [[247, 530]],

       [[247, 530]]], dtype=int32)]"
82,1300.0,5.0,0.0,"[array([[[407, 498]],

       [[407, 498]],

       [[407, 499]],

       [[407, 499]],

       [[407, 500]]], dtype=int32)]"
83,1300.0,6.0,0.0,"[array([[[351, 575]],

       [[351, 575]],

       [[352, 576]],

       [[352, 576]],

       [[352, 577]]], dtype=int32)]"
84,1400.0000000000002,1.0,0.0,"[array([[[294, 421]],

       [[294, 422]],

       [[294, 423]],

       [[295, 424]],

       [[295, 426]]], dtype=int32)]"
85,1400.0000000000002,2.0,0.0,"[array([[[246, 471]],

       [[246, 473]],

       [[246, 474]],

       [[246, 476]],

       [[245, 477]]], dtype=int32)]"
86,1400.0000000000002,3.0,0.0,"[array([[[404, 440]],

       [[404, 441]],

       [[404, 441]],

       [[405, 442]],

       [[405, 443]]], dtype=int32)]"
87,1400.0000000000002,4.0,0.0,"[array([[[248, 531]],

       [[248, 532]],

       [[248, 533]],

       [[248, 534]],

       [[248, 535]]], dtype=int32)]"
88,1400.0000000000002,5.0,0.0,"[array([[[407, 499]],

       [[407, 499]],

       [[407, 500]],

       [[407, 501]],

       [[407, 502]]], dtype=int32)]"
89,1400.0000000000002,6.0,0.0,"[array([[[351, 576]],

       [[351, 577]],

       [[351, 578]],

       [[351, 579]],

       [[351, 580]]], dtype=int32)]"
90,1500.0,1.0,0.0,"[array([[[295, 423]],

       [[295, 425]],

       [[295, 427]],

       [[295, 429]],

       [[295, 431]]], dtype=int32)]"
91,1500.0,2.0,0.0,"[array([[[246, 472]],

       [[246, 474]],

       [[246, 475]],

       [[246, 477]],

       [[246, 479]]], dtype=int32)]"
92,1500.0,3.0,0.0,"[array([[[405, 441]],

       [[405, 442]],

       [[405, 444]],

       [[405, 445]],

       [[405, 447]]], dtype=int32)]"
